"","1st_network","Region","cluster","Hub_consensus","freq"
"308","CON","Frontal_Sup_L_6","56","Peripheral",0.399996
"309","CON","Frontal_Sup_L_6","56","Provincial",0.099999
"310","CON","Frontal_Sup_L_6","56","Satellite",0.399996
"311","FPN","Frontal_Sup_Medial_L_4","23","Connector",0.0526305263157895
"312","FPN","Frontal_Sup_Medial_L_4","23","Isolate",1e-05
"313","FPN","Frontal_Sup_Medial_L_4","23","Peripheral",0.210522105263158
"314","FPN","Frontal_Sup_Medial_L_4","23","Provincial",1e-05
"315","FPN","Frontal_Sup_Medial_L_4","23","Satellite",0.736827368421053
"316","FPN","Frontal_Sup_Medial_L_4","56","Connector",0.285708571428571
"317","FPN","Frontal_Sup_Medial_L_4","56","Isolate",1e-05
"318","FPN","Frontal_Sup_Medial_L_4","56","Peripheral",0.0714271428571429
"319","FPN","Frontal_Sup_Medial_L_4","56","Provincial",1e-05
"320","FPN","Frontal_Sup_Medial_L_4","56","Satellite",0.642844285714286
"321","DMN","Frontal_Sup_Medial_R_4","23","Connector",0.214281428571429
"322","DMN","Frontal_Sup_Medial_R_4","23","Isolate",1e-05
"323","DMN","Frontal_Sup_Medial_R_4","23","Peripheral",1e-05
"324","DMN","Frontal_Sup_Medial_R_4","23","Provincial",0.642844285714286
"325","DMN","Frontal_Sup_Medial_R_4","23","Satellite",0.142854285714286
"326","DMN","Frontal_Sup_Medial_R_4","56","Connector",0.454531818181818
"327","DMN","Frontal_Sup_Medial_R_4","56","Isolate",1e-05
"328","DMN","Frontal_Sup_Medial_R_4","56","Peripheral",1e-05
"329","DMN","Frontal_Sup_Medial_R_4","56","Provincial",0.545438181818182
"330","DMN","Frontal_Sup_Medial_R_4","56","Satellite",1e-05
"331","SMN","Frontal_Sup_R_1","23","Connector",0.166665
"332","SMN","Frontal_Sup_R_1","23","Isolate",1e-05
"333","SMN","Frontal_Sup_R_1","23","Peripheral",0.4166625
"334","SMN","Frontal_Sup_R_1","23","Provincial",0.0833325
"335","SMN","Frontal_Sup_R_1","23","Satellite",0.33333
"336","SMN","Frontal_Sup_R_1","56","Connector",1e-05
"337","SMN","Frontal_Sup_R_1","56","Isolate",1e-05
"338","SMN","Frontal_Sup_R_1","56","Peripheral",0.399988
"339","SMN","Frontal_Sup_R_1","56","Provincial",1e-05
