"","1st_network","Region","cluster","Bridgeness","freq"
"306","DAN","Fusiform_L_2","23","Local_Bridge",0.384611538461539
"307","DAN","Fusiform_L_2","23","Not_a_Bridge",0.153844615384615
"308","DAN","Fusiform_L_2","23","Super_Bridge",0.461533846153846
"309","DAN","Fusiform_L_2","56","Global_Bridge",1e-05
"310","DAN","Fusiform_L_2","56","Local_Bridge",0.571422857142857
"311","DAN","Fusiform_L_2","56","Not_a_Bridge",0.142855714285714
"312","DAN","Fusiform_L_2","56","Super_Bridge",0.285711428571429
"313","VMM","Fusiform_L_3","23","Global_Bridge",0.0555555555555556
"314","VMM","Fusiform_L_3","23","Local_Bridge",0.5
"315","VMM","Fusiform_L_3","23","Not_a_Bridge",0.222222222222222
"316","VMM","Fusiform_L_3","23","Super_Bridge",0.222222222222222
"317","VMM","Fusiform_L_3","56","Global_Bridge",0.166666666666667
"318","VMM","Fusiform_L_3","56","Local_Bridge",0.333333333333333
"319","VMM","Fusiform_L_3","56","Not_a_Bridge",0.166666666666667
"320","VMM","Fusiform_L_3","56","Super_Bridge",0.333333333333333
"321","VMM","Fusiform_R_3","23","Global_Bridge",1e-05
"322","VMM","Fusiform_R_3","23","Local_Bridge",0.545449090909091
"323","VMM","Fusiform_R_3","23","Not_a_Bridge",0.318178636363636
"324","VMM","Fusiform_R_3","23","Super_Bridge",0.136362272727273
"325","VMM","Fusiform_R_3","56","Global_Bridge",1e-05
"326","VMM","Fusiform_R_3","56","Local_Bridge",0.230766923076923
"327","VMM","Fusiform_R_3","56","Not_a_Bridge",0.461533846153846
"328","VMM","Fusiform_R_3","56","Super_Bridge",0.307689230769231
"329","DMN","Insula_L_1","23","Global_Bridge",1e-05
"330","DMN","Insula_L_1","23","Local_Bridge",0.22222
"331","DMN","Insula_L_1","23","Not_a_Bridge",0.11111
"332","DMN","Insula_L_1","23","Super_Bridge",0.66666
"333","DMN","Insula_L_1","56","Global_Bridge",1e-05
"334","DMN","Insula_L_1","56","Local_Bridge",0.22222
"335","DMN","Insula_L_1","56","Not_a_Bridge",0.22222
"336","DMN","Insula_L_1","56","Super_Bridge",0.55555
"337","FPN","Insula_L_2","23","Global_Bridge",0.277775
"338","FPN","Insula_L_2","23","Local_Bridge",1e-05
"339","FPN","Insula_L_2","23","Not_a_Bridge",0.166665
"340","FPN","Insula_L_2","23","Super_Bridge",0.55555
"341","FPN","Insula_L_2","56","Global_Bridge",0.272724545454545
"342","FPN","Insula_L_2","56","Local_Bridge",0.181816363636364
"343","FPN","Insula_L_2","56","Not_a_Bridge",1e-05
"344","FPN","Insula_L_2","56","Super_Bridge",0.545449090909091
"345","DMN","Insula_R_2","23","Global_Bridge",1e-05
"346","DMN","Insula_R_2","23","Local_Bridge",0.538456153846154
"347","DMN","Insula_R_2","23","Not_a_Bridge",0.230766923076923
"348","DMN","Insula_R_2","23","Super_Bridge",0.230766923076923
"349","DMN","Insula_R_2","56","Global_Bridge",1e-05
"350","DMN","Insula_R_2","56","Local_Bridge",0.7499925
"351","DMN","Insula_R_2","56","Not_a_Bridge",0.0833325
"352","DMN","Insula_R_2","56","Super_Bridge",0.166665
"353","CON","Insula_R_6","23","Global_Bridge",0.2
"354","CON","Insula_R_6","23","Local_Bridge",0.2
"355","CON","Insula_R_6","23","Not_a_Bridge",0.3
"356","CON","Insula_R_6","23","Super_Bridge",0.3
"357","CON","Insula_R_6","56","Global_Bridge",0.22222
"358","CON","Insula_R_6","56","Local_Bridge",0.44444
"359","CON","Insula_R_6","56","Not_a_Bridge",1e-05
"360","CON","Insula_R_6","56","Super_Bridge",0.33333
"361","DMN","Paracentral_Lobule_L_1","23","Global_Bridge",0.0714285714285714
"362","DMN","Paracentral_Lobule_L_1","23","Local_Bridge",0.0714285714285714
"363","DMN","Paracentral_Lobule_L_1","23","Not_a_Bridge",0.0714285714285714
"364","DMN","Paracentral_Lobule_L_1","23","Super_Bridge",0.785714285714286
"365","DMN","Paracentral_Lobule_L_1","56","Global_Bridge",1e-05
"366","DMN","Paracentral_Lobule_L_1","56","Local_Bridge",0.49999
"367","DMN","Paracentral_Lobule_L_1","56","Not_a_Bridge",1e-05
"368","DMN","Paracentral_Lobule_L_1","56","Super_Bridge",0.49999
"369","DMN","Paracentral_Lobule_L_2","23","Global_Bridge",1e-05
"370","DMN","Paracentral_Lobule_L_2","23","Local_Bridge",0.499995
"371","DMN","Paracentral_Lobule_L_2","23","Not_a_Bridge",0.062499375
"372","DMN","Paracentral_Lobule_L_2","23","Super_Bridge",0.437495625
"373","DMN","Paracentral_Lobule_L_2","56","Global_Bridge",0.1
